Recipient.Name,Std.Recipient.Name
"ABDUL-AHAD, UMOJA O.N.","ABDUL-AHAD, UMOJA O.N."
"ABERNATHY, KIMI","ABERNATHY, KIMI"
"ABNEY, CAROL VENEA","ABNEY, CAROL VENEA"
"ACUFF, JAMES","ACUFF, JAMES"
"ACUFF, ROBERT (BOB)","ACUFF, ROBERT (BOB)"
"ACUFF, W. I. HOWELL (HOWIE)","ACUFF, W. I. HOWELL (HOWIE)"
"ADAMS, SHARON ""LAYNE""","ADAMS, SHARON (LAYNE)"
"AGOSTINI, KEIFEL","AGOSTINI, KEIFEL"
"AIKENS, TONY R.","AIKENS, TONY R."
"AILOR, BILL","AILOR, BILL"
"AKARD, JOE MIKE","AKARD, JOE MIKE"
"AKBARI, RAUMESH","AKBARI, RAUMESH"
"AKBARI (HOUSE), RAUMESH","AKBARI, RAUMESH"
"ALBERTINI, MARK","ALBERTINI, MARK"
"ALBRIGHT, CONNEYE  THOMPSON","ALBRIGHT, CONNEYE  THOMPSON"
"ALDERMAN, ROSS","ALDERMAN, ROSS"
"ALEXANDER, DAVID","ALEXANDER, DAVID"
"ALEXANDER, DON","ALEXANDER, DON"
"ALEXANDER, REBECCA","ALEXANDER, REBECCA"
"ALEXANDER, SAM","ALEXANDER, SAM"
"ALI, HANA","ALI, HANA"
"ALJABBARY, MWAFAQ","ALJABBARY, MWAFAQ"
"ALLEN, ANGELA CHARME","ALLEN, ANGELA CHARME"
"ALLERS, TONY","ALLERS, TONY"
"ALLMAN, ANDY","ALLMAN, ANDY"
"ALSOBROOKS, DAN","ALSOBROOKS, DAN"
"ANDREUCCETTI, JOHN","ANDREUCCETTI, JOHN"
"ANDREWS, VENITA MARTIN","ANDREWS, VENITA MARTIN"
"ANGEL, JUSTIN","ANGEL, JUSTIN"
"ARGANBRIGHT, DEANE","ARGANBRIGHT, DEANE"
"ARMSTRONG REEDY, AMY","ARMSTRONG REEDY, AMY"
"ARMSTRONG, DAN E.","ARMSTRONG, DAN E."
"ARMSTRONG, JOE","ARMSTRONG, JOE"
"ARNETT, SHELLY","ARNETT, SHELLY"
"ARNOLD, JACK","ARNOLD, JACK"
"ARP, DOYLE","ARP, DOYLE"
"ARROWOOD, JOSHUA","ARROWOOD, JOSHUA"
"ASBURY, ELIZABETH C.","ASBURY, ELIZABETH C."
"ASHWORTH, JULIE BYRD","ASHWORTH, JULIE BYRD"
"ATKINS, CHRISTOPHER","ATKINS, CHRISTOPHER"
"ATKINS, KYLE","ATKINS, KYLE"
"ATWOOD, JO","ATWOOD, JO"
"AULGUR, GORDON","AULGUR, GORDON"
"AYERS, JILL BARTEE","AYERS, JILL BARTEE"
"BABIAN, EDGAR A.","BABIAN, EDGAR A."
"BAER, THOMAS","BAER, THOMAS"
"BAGNELL, JASON","BAGNELL, JASON"
"BAILEY, D'ARMY","BAILEY, D'ARMY"
"BAILEY, PAUL","BAILEY, PAUL"
"BAIN, CLEVELAND DERRICK","BAIN, CLEVELAND DERRICK"
"BAIRD, EDWARD","BAIRD, EDWARD"
"BAIRD, WILLIAM","BAIRD, WILLIAM"
"BAKER, JOHN C.","BAKER, JOHN C."
"BAKER, JOSEPH A. (JOE)","BAKER, JOSEPH A. (JOE)"
"BALDWIN, EDWARD (ED)","BALDWIN, EDWARD (ED)"
"BALLEW, LU ANN","BALLEW, LU ANN"
"BALLINGER, JAMIE","BALLINGER, JAMIE"
"BANKSTON, ANN","BANKSTON, ANN"
"BARBER, HARRY","BARBER, HARRY"
"BARKER, ANN","BARKER, ANN"
"BARKER, JUDY","BARKER, JUDY"
"BARNES, TIM","BARNES, TIM"
"BARNETT, HANK","BARNETT, HANK"
"BARNETT, JUDY","BARNETT, JUDY"
"BARNWELL, BOB","BARNWELL, BOB"
"BARRETT, JEFFERY","BARRETT, JEFFERY"
"BARRY, ALLEN","BARRY, ALLEN"
"BASCOM, GLEN","BASCOM, GLEN"
"BASS, EDDIE","BASS, EDDIE"
"BATEMAN, ROBERT","BATEMAN, ROBERT"
"BATES, ANN GABBERT","BATES, ANN GABBERT"
"BATES, CHUCK","BATES, CHUCK"
"BATT, BRAD","BATT, BRAD"
"BAUHS, RAYMOND E.","BAUHS, RAYMOND E."
"BAUM, CHARLIE","BAUM, CHARLIE"
"BAXTER(2004), JAMES","BAXTER, JAMES"
"BAXTER, JAMES A.","BAXTER, JAMES"
"BAXTER, MARY RENE","BAXTER, MARY RENE"
"BEAVERS, MAE","BEAVERS, MAE"
"BEAVERS (SENATE), MAE","BEAVERS, MAE"
"BEBB, STEVE","BEBB, STEVE"
"BECK, BILL","BECK, BILL"
"BELL, MARY ESTHER","BELL, MARY ESTHER"
"BELL, MIKE","BELL, MIKE"
"BELLAR, BRANDEN","BELLAR, BRANDEN"
"BELOTE, DAVID","BELOTE, DAVID"
"BENNETT III, ANDREW F.","BENNETT III, ANDREW F."
"BENNETT, J. B.","BENNETT, J. B."
"BENNETT, KAREN","BENNETT, KAREN"
"BENNETT, LARRY","BENNETT, LARRY"
"BENNINGTON, L. BROCK","BENNINGTON, L. BROCK"
"BERKE, ANDREW","BERKE, ANDREW"
"BERNARD, JENNINGS","BERNARD, JENNINGS"
"BERNSTEIN, BILL","BERNSTEIN, BILL"
"BESSER, KEN","BESSER, KEN"
"BIBB, ROBERT (BOB)","BIBB, ROBERT (BOB)"
"BINKLEY, BAYRON","BINKLEY, BAYRON"
"BINKLEY, GARY ALLEN","BINKLEY, GARY ALLEN"
