Name,Party,District,Session,Chamber,Speaker
"Armstrong, Joe E.",D,15,101,House,FALSE
"Arriola, John",D,53,101,House,FALSE
"Baird, William",R,36,101,House,FALSE
"Beavers, Mae",R,57,101,House,FALSE
"Bittle, H. E.",R,14,101,House,FALSE
"Black, Diane",R,45,101,House,FALSE
"Bone, Stratton",D,46,101,House,FALSE
"Bowers, Kathryn I.",D,87,101,House,FALSE
"Boyer, Jim",R,19,101,House,FALSE
"Briley, Rob",D,52,101,House,FALSE
"Brooks, Henri E.",D,92,101,House,FALSE
"Brown, Tommie F.",D,28,101,House,FALSE
"Buck, Frank",D,40,101,House,FALSE
"Bunch, Dewayne",R,24,101,House,FALSE
"Buttry, Steven",R,18,101,House,FALSE
"Caldwell, Gene",D,33,101,House,FALSE
"Chumney, Carol",D,89,101,House,FALSE
"Cole, Ralph",R,4,101,House,FALSE
"Cole, Ronnie M.",D,78,101,House,FALSE
"Cooper, Barbara",D,86,101,House,FALSE
"Curtiss, Charles",D,43,101,House,FALSE
"Davidson, Eugene E.",D,66,101,House,FALSE
"Davis, David",R,6,101,House,FALSE
"Davis, Ronnie E.",R,11,101,House,FALSE
"DeBerry, John J., Jr.",D,90,101,House,FALSE
"DeBerry, Lois M.",D,91,101,House,FALSE
"Dunn, Bill",R,16,101,House,FALSE
"Eckles, Mary Ann",D,49,101,House,FALSE
"Ferguson, Dennis",D,32,101,House,FALSE
"Fitzhugh, Craig",D,82,101,House,FALSE
"Ford, Stancil",R,10,101,House,FALSE
"Fowlkes, Joe F.",D,65,101,House,FALSE
"Fraley, George W.",D,39,101,House,FALSE
"Garrett, Tim",D,50,101,House,FALSE
"Givens, Ken",D,9,101,House,FALSE
"Godsey, Steve",R,1,101,House,FALSE
"Goins, Mark K.",R,34,101,House,FALSE
"Gunnels, Douglas E.",R,21,101,House,FALSE
"Hagood, Jamie",R,17,101,House,FALSE
"Hargett, Tre",R,97,101,House,FALSE
"Hargrove, Jere L.",D,42,101,House,FALSE
"Harwell, Beth",R,56,101,House,FALSE
"Hassell, Joyce Barnett",R,96,101,House,FALSE
"Head, Tommy",D,68,101,House,FALSE
"Hood, John",D,48,101,House,FALSE
"Jackson, Doug",D,69,101,House,FALSE
"Jones, Sherry",D,59,101,House,FALSE
"Jones, Ulysses, Jr.",D,98,101,House,FALSE
"Kent, Joe",R,83,101,House,FALSE
"Kernell, Mike",D,93,101,House,FALSE
"Kerr, Howard",R,20,101,House,FALSE
"Kisber, Matt",D,73,101,House,FALSE
"Langster, Edith Taylor",D,54,101,House,FALSE
"Lewis, Doyle, Jr.",D,47,101,House,FALSE
"Maddox, Mark L.",D,76,101,House,FALSE
"McAfee, Bill",R,27,101,House,FALSE
"McCord, Joe",R,8,101,House,FALSE
"McDaniel, Steve",R,72,101,House,FALSE
"McDonald, Michael Ray",D,44,101,House,FALSE
"McKee, Bob",R,23,101,House,FALSE
"McMillan, Kim A.",D,67,101,House,FALSE
"Miller, Larry J.",D,88,101,House,FALSE
"Montgomery, Richard",R,12,101,House,FALSE
"Mumpower, Jason",R,3,101,House,FALSE
"Naifeh, Jimmy",D,81,101,House,TRUE
"Newton, J. Chris",R,22,101,House,FALSE
"Odom, Gary",D,55,101,House,FALSE
"Patton, Robert D.",R,7,101,House,FALSE
"Phelan, Paul E.",D,79,101,House,FALSE
"Phillips, Clarence W.",D,62,101,House,FALSE
"Pinion, Phillip",D,77,101,House,FALSE
"Pleasant, W. C.",R,99,101,House,FALSE
"Pruitt, Mary",D,58,101,House,FALSE
"Rhinehart, Shelby A.",D,37,101,House,FALSE
"Ridgeway, L. Don",D,75,101,House,FALSE
"Rinks, Randy",D,71,101,House,FALSE
"Roach, Dennis E.",R,35,101,House,FALSE
"Robinson, Robb",D,51,101,House,FALSE
"Sands, Bobby",D,64,101,House,FALSE
"Sargent, Charles Michael",R,61,101,House,FALSE
"Scroggs, Larry",R,94,101,House,FALSE
"Sharp, Jack",R,30,101,House,FALSE
"Stulce, Arnold",D,31,101,House,FALSE
"Tidwell, John C.",D,74,101,House,FALSE
"Tindell, Harry J.",D,13,101,House,FALSE
"Todd, Curry",R,95,101,House,FALSE
"Towns, Joe, Jr.",D,84,101,House,FALSE
"Turner, Brenda K.",D,29,101,House,FALSE
"Turner, Larry",D,85,101,House,FALSE
"Turner, Mike",D,51,101,House,FALSE
"Walker, Raymond",R,25,101,House,FALSE
"Walley, Page",R,80,101,House,FALSE
"West, Ben , Jr.",D,60,101,House,FALSE
"Westmoreland, Keith",R,2,101,House,FALSE
"White, John",D,70,101,House,FALSE
"Whitson, Zane C.",R,5,101,House,FALSE
"Williams, Mike",D,63,101,House,FALSE
"Windle, John Mark",D,41,101,House,FALSE
"Winningham, Les",D,38,101,House,FALSE
"Wood, Bobby G.",R,26,101,House,FALSE
"Armstrong, Joe E.",D,15,102,House,FALSE
"Arriola, John",D,53,102,House,FALSE
"Baird, William",R,36,102,House,FALSE
"Beavers, Mae",R,57,102,House,FALSE
"Bittle, H. E.",R,14,102,House,FALSE
"Black, Diane",R,45,102,House,FALSE
"Bone, Stratton",D,46,102,House,FALSE
"Bowers, Kathryn I.",D,87,102,House,FALSE
"Boyer, Jim",R,19,102,House,FALSE
"Briley, Rob",D,52,102,House,FALSE
"Brooks, Henri E.",D,92,102,House,FALSE
"Brown, Tommie F.",D,28,102,House,FALSE
"Buck, Frank",D,40,102,House,FALSE
"Bunch, Dewayne",R,24,102,House,FALSE
"Buttry, Steven",R,18,102,House,FALSE
"Caldwell, Gene",D,33,102,House,FALSE
"Chumney, Carol",D,89,102,House,FALSE
"Clem, Chris",R,27,102,House,FALSE
"Cole, Ralph",R,4,102,House,FALSE
"Cole, Ronnie M.",D,78,102,House,FALSE
"Cooper, Barbara",D,86,102,House,FALSE
"Curtiss, Charles",D,43,102,House,FALSE
"Davidson, Eugene E.",D,66,102,House,FALSE
"Davis, David",R,6,102,House,FALSE
"Davis, Ronnie E.",R,11,102,House,FALSE
"DeBerry, John J., Jr.",D,90,102,House,FALSE
"DeBerry, Lois M.",D,91,102,House,FALSE
"Dunn, Bill",R,16,102,House,FALSE
"Ferguson, Dennis",D,32,102,House,FALSE
